GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSMUSG00000059003,ENSMUST00000032331,1464,1.0,start/3_0/3_1/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,63.63636363636363,38.095238095238095,0.4393939393939394,1872.7272727272727,1599.9999999999993,16.757575757575758,93.63636363636364,79.99999999999997,0.8378787878787879,7
ENSG00000183454,ENST00000330684/ENST00000396573,1464,1.0,start/3_0/3_1/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,63.63636363636363,38.095238095238095,0.4393939393939394,1872.7272727272727,1599.9999999999993,16.757575757575758,93.63636363636364,79.99999999999997,0.8378787878787879,7
ENSGGOG00000008796,ENSGGOT00000008839,1464,,start/3_0/3_1/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,63.63636363636363,38.095238095238095,0.4393939393939394,1872.7272727272727,1599.9999999999993,16.757575757575758,93.63636363636364,79.99999999999997,0.8378787878787879,7
ENSMMUG00000010142,ENSMMUT00000078789,1464,,start/3_0/3_1/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,63.63636363636363,38.095238095238095,0.4393939393939394,1872.7272727272727,1599.9999999999993,16.757575757575758,93.63636363636364,79.99999999999997,0.8378787878787879,7
ENSSSCG00000031290,ENSSSCT00000065791,1464,,start/3_0/3_1/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,63.63636363636363,38.095238095238095,0.4393939393939394,1872.7272727272727,1599.9999999999993,16.757575757575758,93.63636363636364,79.99999999999997,0.8378787878787879,7
ENSDARG00000034493,ENSDART00000142141,1460,,start/3_0/3_1/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,63.63636363636363,38.095238095238095,0.4393939393939394,1872.7272727272727,1599.9999999999993,16.757575757575758,93.63636363636364,79.99999999999997,0.8378787878787879,7
ENSOANG00000007157,ENSOANT00000011391,1452,,start/3_0/3_1/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,63.63636363636363,38.095238095238095,0.4393939393939394,1872.7272727272727,1599.9999999999993,16.757575757575758,93.63636363636364,79.99999999999997,0.8378787878787879,7
ENSG00000183454,ENST00000562109,1281,1.0,start/3_0/3_1/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/17_0/stop,27.27272727272727,14.285714285714285,0.10606060606060605,1345.4545454545453,1190.4761904761901,12.136363636363633,84.0909090909091,74.4047619047619,0.7585227272727273,1
ENSXETG00000017116,ENSXETT00000054911,1318,,start/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,18.181818181818183,9.523809523809524,0.18181818181818182,1700.0,1490.4761904761897,15.59090909090909,94.44444444444444,82.80423280423278,0.866161616161616,1
ENSGGOG00000008796,ENSGGOT00000056715,1307,,start/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,18.181818181818183,14.285714285714285,0.1515151515151515,1609.0909090909092,1409.523809523809,14.712121212121213,94.6524064171123,82.91316526610643,0.8654188948306595,2
ENSRNOG00000033942,ENSRNOT00000044626,1307,,start/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/stop,18.181818181818183,14.285714285714285,0.1515151515151515,1609.0909090909092,1409.523809523809,14.712121212121213,94.6524064171123,82.91316526610643,0.8654188948306595,2
ENSGGOG00000008796,ENSGGOT00000063011,1124,,start/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/17_0/stop,18.181818181818183,14.285714285714285,0.10606060606060605,1081.8181818181818,999.9999999999998,10.09090909090909,83.21678321678321,76.92307692307692,0.7762237762237761,1
ENSMODG00000005363,ENSMODT00000076733,1365,,start/2_1/2_2/16_0/6_0/8_0/10_0/15_0/5_0/9_0/7_0/4_0/1_0/1_1/1_2/1_3/1_4/1_5/12_0/stop,9.090909090909092,4.761904761904762,0.09090909090909091,1627.272727272727,1428.571428571428,15.030303030303031,85.64593301435406,75.18796992481202,0.7910685805422647,1
